front,back
为什么要计算查找成功的平均查找长度？,计算ASL可以评估查找效率，查找成功的平均查找长度反映了查找操作的平均复杂度
查找过程中如何减少比较次数？,在每个记录中附设一个频度域，频繁查找的记录依次后移，以减小比较次数
为什么顺序查找不适用于表长较大的查找表？,因为平均查找长度较大，查找效率低
折半查找需要满足什么条件才能进行？,数据必须是有序的，且存放在数组中
折半查找是如何缩小查找范围的？,每次比较后将查找区间缩小为一半，更新low和high指针
折半查找成功的平均查找长度ASL如何计算？,表长为n时，ASL成功约为log2(n)-1
折半查找不成功的平均查找长度ASL如何计算？,表长为n时，ASL不成功约为log2(n)+1
在什么情况下使用分块查找？,针对部分有序的数据，性能介于顺序查找和折半查找之间
如何高效查询电话号码？,针对不同的数据结构，选择顺序查找或其他适合的查找算法
为什么分块查找比顺序查找效率高？,分块查找通过建立索引表缩小查找范围，从而减少比较次数，提高效率
在电话号码查询中，如何利用分块查找提高查询效率？,通过建立索引表，将电话号码分块管理，每块内用顺序查找或折半查找
分块查找的平均查找长度ASL如何计算？,将n个记录分成b块，每块有s条记录，ASL = (s+1)/2 + (n+1)/2b
为什么树表查找适合动态查找？,因为树表查找支持高效的插入和删除操作，适用于频繁更新的数据集
树表查找适用于有序数据还是无序数据？为什么？,适用于无序数据，因为可以通过建立树结构进行高效查找
什么是二叉排序树？,一种二叉树，左子树节点值小于根节点值，右子树节点值大于根节点值，左右子树也分别是二叉排序树
如何在二叉排序树中查找一个关键字？,从根节点开始，比较关键字，若小于当前节点值则查找左子树，若大于则查找右子树，直到找到关键字或查找结束
如何构造二叉排序树（BST）？,从空树开始，依次插入元素，每次将新元素与当前节点比较，小于当前节点放左子树，大于放右子树
在BST中插入新节点的步骤是什么？,如果当前节点为空，直接插入；否则与当前节点比较，小于当前节点插入左子树，大于当前节点插入右子树，重复直到插入位置为空
在BST中查找关键字的步骤是什么？,从根节点开始，依次比较关键字，小于当前节点则查找左子树，大于当前节点则查找右子树，直到找到或为空
BST删除节点后如何保持树的特性？,删除节点后分三种情况：叶子节点、只有一棵子树、两棵子树，分别处理以保持BST特性
如何删除BST中的叶子节点？,直接删除
如何删除只有左子树或右子树的二叉排序树节点？,将该节点的父节点指向其唯一的子节点，然后删除该节点
如何删除有两个子树的二叉排序树节点？,找到该节点的前驱节点或后继节点，用前驱或后继节点替代该节点，然后删除前驱或后继节点
为什么不同形态的二叉排序树的ASL值不同？,因为不同形态的树的深度和结构不同，导致查找路径长度不同
二叉排序树在最坏情况下会退化成什么？ASL是多少?,退化成单支顺序查找，ASL = (n+1)/2
二叉排序树在最优化情况下的ASL是多少？,ASL = log2(n+1) - 1
AVL树的特性有哪些？,左右子树都是平衡二叉树，且左右子树高度之差的绝对值不超过1
AVL树中，当出现RR失衡时如何调整？,左旋转调整，使得右子树的高度减少，恢复平衡
AVL树中，当出现RL失衡时如何调整？,先右旋再左旋，使得树恢复平衡
为什么B-树适合作为磁盘索引？,B-树是一种多叉平衡排序树，可以一次读取更多信息，减少树的层数，提高查找效率
为什么数据库索引适合使用B-树？,因为B-树能在数据量很大时保持O(log n)的查找效率
什么是Hash技术？,Hash技术通过散列函数H，将记录的关键码映射到一个存储位置，使得关键码和存储位置之间建立确定的对应关系
设计散列函数时的主要目标是什么？,保证散列地址均匀分布，减少冲突，确保查找效率
Hash查找中常见的数据冲突处理方法有哪些？,开放地址法和链地址法
Hash查找过程的主要步骤有哪些？,计算关键码的散列地址H(key)，在散列表中查找该地址存储的记录
Hash技术中，为什么会发生冲突？,不同关键码可能映射到相同的存储位置，导致冲突
使用直接定址法构造哈希函数时，h(key)如何计算？,h(key) = a * key + b，其中a和b为常数
为什么除留余数法应用广泛？,计算简单，适用范围广，通常选择素数或不包含小质因数的合数作为模数p
为什么数字分析法适用于已知关键码分布的情况？,可以分析关键码的每位数字，选择分布均匀的数字或组合作为地址
平方取中法适用于什么情况？,关键码分布未知且关键码位数不大时，通过平方取中间几位作为存储地址
折叠法如何处理关键码位数较多的情况？,将关键码分割成若干部份，采用移位叠加或间界叠加处理，最后一位对齐相加
开放定址法如何处理冲突？,为产生冲突的地址H(key)按照某种规则产生另一个地址，如线性探测法、平方探测法、随机探测法
链地址法如何处理Hash冲突？,将所有Hash地址相同的记录存储在一个单链表中，Hash表存储指向链表头的指针
公共溢出法如何处理Hash冲突？,散列表包含基本表和溢出表，冲突记录存储在溢出表中，通过顺序查找处理
"直接定址法的特点,适用情况是什么？",计算简单，无冲突，但适用于关键码分布连续的情况，否则空间浪费大
Hash查找的性能由哪些因素决定？,由处理冲突的方法和冲突概率决定，冲突越少，查找效率越高
Hash查找的性能由哪些因素决定？,Hash函数的均匀性、冲突处理方法和装填因子a
什么是Hash查找的装填因子？为什么重要？,装填因子a=填入表中的记录个数/Hash表的长度，a越大冲突可能性越大
如何用Hash表求集合A和B的关系，找出B中但不在A中的元素个数？,对集合A构造Hash表，查找B中的元素在Hash表中是否存在.
常见查找算法如线性查找、树表查找和散列查找的时间复杂度分别是多少？,线性查找O(n)，树表查找O(log n)，散列查找O(1)
递归的两个要素是什么？,边界条件和递归模式。
非递归函数的控制条件是什么？,入栈/出栈的条件，入栈做什么，出栈做什么。
"迷宫求解的时间复杂度是什么,为什么？",一条通路可以通过遍历迷宫找到，时间复杂度O(n^2);哪里都有三种可能的移动，搜索需要递归探索， O(n^3)
分治法的基本步骤是什么？,1) 将问题划分为互不相交的子问题；2) 递归求解子问题，组合得到原问题的解。
动态规划的基本步骤是什么？,1) 适用于子问题重叠的情况；2) 每个子问题只求解一次，提高效率。
01背包问题的基本描述是什么？,给定一组物品，每个物品有重量和价值，求解在不超过背包容量的前提下的最大价值。
求解01背包问题的核心是什么？,最大化选择当前物品或不选取的背包价值
迷宫求解中用到哪些算法基本思想？,递归：沿着一个方向走，若不通则换方向。回溯：所有方向都不通则回到上一步换方向。
迷宫求解递归算法的步骤是什么？,如果当前位置是出口，递归结束；否则假设当前位置为路径，按南、东、西、北顺序递归走，不通则回溯。
迷宫问题的非递归求解与栈的类比关系？,递归等于进栈，回溯等于出栈。
分治法的基本思想是什么？,将一个规模为n的难题分解为k个规模较小的子问题，递归地解这些子问题，然后合并子问题的解得到原问题的解。
分治法的经典案例有哪些？,Fibonacci数列，阶乘，汉诺塔，二分法搜索，归并排序等。
汉诺塔问题的归纳法思想是什么？,1）将n个盘子从A移到C，需先将n-1个盘子从A移到B，再将n-1个盘子从B移到C。
回溯法的基本思想是什么？,将问题的解空间转化为图或树的搜索形式，使用搜索策略遍历，记录和寻找所有可行解或最优解。
回溯法的经典案例有哪些？,迷宫求解，深度优先遍历，八皇后问题等。
什么是优先级队列？,优先级队列是有多个队列，每个队列优先级不同的数据结构。
函数调用和返回在栈中的操作是什么？,函数调用==进栈，函数返回==出栈。
前序遍历的基本步骤是什么？,先访问根结点，然后遍历左子树，最后遍历右子树
前序遍历的函数调用在数据结构中如何实现？,使用递归函数调用，每次调用将当前结点入栈，返回时出栈
如何根据层序和中序序列还原二叉树结构？,使用层序确定结点位置，中序确定左右子树范围，递归构建
什么是双亲孩子表示法？,用一个数组存储结点，每个结点存储其数据、父结点位置和孩子结点
什么是链式结构的多重链表表示法？,用多重链表存储结点，每个结点存储其数据和指向孩子结点的指针
什么是孩子兄弟表示法？,每个结点存储数据、指向第一个孩子的指针和指向右兄弟的指针
二叉树转换成森林的转换过程是什么？,主要包括删除右孩子连线和将分离后的二叉树转换为树的步骤
树的四种存储结构有哪些？,双亲表示法，孩子表示法，双亲孩子表示法，孩子兄弟表示法
什么是双亲表示法？,用一个数组存储结点，每个结点存储其数据和父结点位置
什么是孩子表示法？,每个结点存储数据和指向孩子结点的指针，孩子结点用链表表示
带右兄弟的双亲表示法是什么？,在双亲表示法基础上增加一个指向右兄弟的指针
什么是三叉链表？,每个结点存储数据、指向左右孩子的指针和指向父结点的指针
二叉树最常用的结构是什么？,二叉链表
哈夫曼编码如何表示不同字符的编码？,通过频率构建哈夫曼树，频率高的字符用较短编码，频率低的字符用较长编码
字符编码和bit编码的区别是什么？,字符编码使用字符存储编码，bit编码使用二进制位存储编码，bit编码更节省空间
如何根据前序和中序序列构建二叉树？,前序序列的第一个元素为根结点，在中序序列中找到根结点位置，分割前序和中序序列，递归构建左右子树
什么是普里姆算法？,一种用于求解加权连通图的最小生成树的贪心算法
普里姆算法在使用邻接矩阵与使用邻接表时的时间复杂度区别？,使用邻接矩阵时为O(n^2)，使用邻接表时为O(E log V)
普里姆算法适用于哪些场景？,网络设计、优化问题，如电话网络、电网设计等
普里姆算法使用的主要数据结构有哪些？,邻接矩阵和辅助数组，如`adjvex`和`lowcost`
邻接矩阵在普里姆算法中的作用是什么？,存储图中各顶点之间的边的权重，便于快速查找最小权值边
普里姆算法的主要用途是什么？,用于求解加权连通图的最小生成树
普里姆算法的关键步骤有哪些？,选择起点，初始化辅助数组，循环选择最小权值边，更新辅助数组，直至所有顶点被访问
什么是图的数学表示方法？,"用顶点集合V和边集合E表示图，记为G = (V, E)"
图可以通过哪两种方式表示？,数学方法和图形方法
图中的顶点和边分别代表什么？,顶点代表数据元素，边代表顶点之间的关系
有向图和无向图的区别是什么？,有向图的边有方向，无向图的边无方向
图可以用来解决哪些实际问题？,通信网络、交通网络、社交网络等问题
什么是简单图？,不存在顶点到其自身的边，且同一条边不重复
在有向和无向图中，什么是邻接点？,"如果(vi, vj)是一条边，vi和vj互为邻接点；如果<vi， vj>是一条弧，vj是vi的邻接点"
什么是完全无向图和完全有向图？,有n(n-1)/2条边的是完全无向图，有n(n-1)条弧的是完全有向图
什么是图的度？包括哪些类型？,度是与顶点相关联的边的条数，有入度和出度两种类型
什么是稀疏图和稠密图？,边或弧很少的图称为稀疏图，边或弧较多的图称为稠密图
什么是路径和路径长度？,路径是接续的边的端点构成的顶点序列，路径长度是路径上边或弧的数目或权值之和
什么是简单路径和简单回路？,简单路径是顶点不重复出现的路径，简单回路是除了起点和终点外，其余顶点均不相同的回路
什么是连通图和连通分量？,连通图是无向图中任何一对顶点都有路径相连，连通分量是无向图中的极大连通子图
什么是强连通图和强连通分量？,强连通图是有向图中任何一对顶点都有弧相连，强连通分量是有向图中的极大连通子图
什么是生成树？,连通图中一个极小连通子图，包含所有顶点，但只有足以构成树的n-1条边
什么是生成森林？,在非连通图中，每个连通分量的生成树构成生成森林
连通图和强连通图有什么区别？,连通图是无向图中任何一对顶点都有路径相连，强连通图是有向图中任何一对顶点都有有向路径相连
什么是图的邻接矩阵？,使用一个二维数组表示图中的顶点和边，矩阵中的元素表示顶点之间是否有边
如何表示无向图的邻接矩阵？,用一个对称的二维数组，元素为1表示顶点之间有边，0表示无边
如何表示有向图的邻接矩阵？,用一个二维数组，元素为1表示有弧，0表示无弧，方向由行到列
如何表示带权图的邻接矩阵？,用一个二维数组，元素为边的权重，无边则用∞表示
什么是图的邻接表？,邻接表是顺序结构和链式存储的组合，用于表示图的存储结构
邻接表由哪些部分组成？,顶点结点和弧结点，顶点结点包含顶点数据和第一条弧的指针，弧结点包含邻接顶点和下一条弧的指针
如何用邻接表表示无向图？,每条边表示为两个方向的弧，分别存储在对应的顶点结点的弧链表中
邻接表中顶点和弧的结构在C++中如何描述？,顶点用`struct VertexNode`表示，包含顶点数据和第一条弧的指针；弧用`struct ArcNode`表示，包含邻接顶点和下一条弧的指针
什么是十字链表？,一种用于表示有向图的存储结构，顶点结点包含指向第一条入弧和出弧的指针，弧结点包含指向下一个入弧和出弧的指针
什么是邻接多重表？,一种用于表示无向图的存储结构，每条边用两个弧结点表示，分别存储在两个顶点结点的弧链表中
什么是边集数组？,一种图的存储结构，用一个数组表示所有边，每个元素包含起点、终点和权值
构造图的存储结构的关键步骤有哪些？,读取数据、创建顶点和边、使用邻接矩阵或邻接表表示图
图的常用遍历方法有哪些？,深度优先遍历（DFS）和广度优先遍历（BFS）
邻接矩阵的C++描述中包含哪些主要成员？,包括顶点数组`T vertex[N]`、边数组`int arc[N][N]`、顶点数`int vNum`和边数`int arcNum`
深度优先遍历的基本思想是什么？,从某顶点出发，沿着一条路径走到底，再回溯到上一个顶点，寻找新的未访问顶点，直到所有顶点都被访问
广度优先遍历的基本思想是什么？,从某顶点出发，先访问所有相邻顶点，再逐层向外扩展，直到所有顶点都被访问
如何通过文件数据创建邻接矩阵？,读取文件中的顶点和边信息，初始化邻接矩阵，设置对应位置为1表示有边，0表示无边
如何实现非连通图的深度优先遍历？,对每个顶点调用DFS函数，未被访问的顶点作为起点进行深度优先遍历
如何实现非递归的深度优先遍历？,使用栈代替递归函数，手动管理栈来实现深度优先遍历
如何判断一张图是否是连通图？,通过一次深度优先遍历或广度优先遍历，检查是否所有顶点都被访问到
广度优先遍历的基本思想是什么？,从某顶点出发，依次访问所有相邻顶点，再逐层向外扩展，直到所有顶点都被访问
实现广度优先遍历的步骤有哪些？,初始化队列Q，访问顶点v并入队，重复出队访问所有未访问的邻接点并入队，直到队列为空
邻接表在C++中用类如何描述？,使用`class ALGraph`，包含顶点结点数组`VertexNode adjlist[MAXSIZE]`、顶点数`vNum`和边数`arcNum`
图的遍历中，邻接矩阵和邻接表的DFS算法有何区别？,邻接矩阵使用二维数组存储边信息，邻接表使用链表存储边信息，DFS实现方式不同
深度优先遍历的基本思想是什么？,从某顶点出发，访问第一个未访问的邻接点，递归访问所有未访问的邻接点，直到所有顶点都被访问
邻接表和邻接矩阵的DFS算法如何寻找未访问的邻接点？,邻接表遍历链表找到第一个未访问的邻接点，邻接矩阵遍历数组找到第一个未访问的邻接点
广度优先遍历的基本思想是什么？,从某顶点出发，依次访问所有未访问的邻接点，再从这些邻接点出发继续访问，直到所有顶点都被访问
广度优先遍历的实现步骤有哪些？,初始化队列，访问起始顶点并入队，重复出队访问所有未访问的邻接点并入队，直到队列为空
邻接表和邻接矩阵的BFS算法如何寻找未访问的邻接点？,邻接表遍历链表找到第一个未访问的邻接点，邻接矩阵遍历数组找到第一个未访问的邻接点
邻接矩阵和邻接表在空间和时间性能上有何区别？,邻接矩阵占用O(n^2)空间，遍历时间为O(n^2)；邻接表占用O(n+e)空间，遍历时间为O(n+e)
什么是克鲁斯卡尔算法？,一种用于求解最小生成树的贪心算法，按权值从小到大选择边，避免形成环
克鲁斯卡尔算法的主要步骤是什么？,对所有边按权值排序，从小到大选择边，确保不会形成环，直到包含所有顶点
克鲁斯卡尔算法如何判断是否形成环？,使用并查集数据结构，判断两个顶点是否在同一集合中，若是则形成环
克鲁斯卡尔算法使用的主要数据结构是什么？,边集数组，按权值从小到大排序，包含起始顶点、终止顶点和边的权值
边集数组在图算法中的作用是什么？,存储图中的所有边，便于按权值排序和选择最小权值边
克鲁斯卡尔算法如何对边进行排序？,使用冒泡排序对边集数组按权值从小到大排序
克鲁斯卡尔算法的主要实现步骤是什么？,初始化顶点集合，排序边集数组，依次选择边，确保不形成环，直到生成树完成
克鲁斯卡尔算法中如何合并顶点集合？,使用并查集结构，合并属于不同集合的顶点，更新集合编号
最短路径问题的主要应用有哪些？,交通规划、物流运输、网络路由等领域
什么是Dijkstra算法？,一种用于求解有向带权图中单源最短路径的贪心算法
Dijkstra算法的主要步骤是什么？,初始化距离数组和已访问顶点集合，迭代选择未访问顶点中的最短路径顶点，更新相邻顶点的最短路径，直到所有顶点被访问
Dijkstra算法的基本思想是什么？,按路径长度递增次序，逐步确定每个顶点的最短路径
Dijkstra算法的主要步骤有哪些？,初始化，选择未访问顶点中距离最短者，更新邻接顶点距离，重复直到所有顶点被访问
Dijkstra算法使用哪些主要数据结构？,邻接矩阵、辅助数组S、距离数组Disk、路径数组Path
Dijkstra算法中的辅助数组S有什么作用？,记录顶点是否已找到最短路径
Dijkstra算法中的路径数组Path的作用是什么？,记录源点到各顶点的最短路径上的前一个顶点
如何使用图结构来解决田径赛时间安排问题？,使用图结构表示比赛项目，边表示不能同时进行的项目，通过图的着色问题来安排时间
如何用邻接矩阵存储图？,用二维数组表示图中的顶点和边，矩阵元素表示顶点之间是否有边
什么是图的着色问题？,将图中的顶点分配颜色，使得相邻顶点颜色不同，用最少的颜色完成着色
如何实现图的着色算法？,使用贪心算法，每次选择未着色顶点，分配可用的最小颜色，直到所有顶点都被着色
什么时候选择用邻接矩阵存储图？,当图比较稠密，即边数接近顶点数的平方时，使用邻接矩阵更合适
哈夫曼编码的关键特点是什么？,解码时的唯一性，每个编码都不是其他编码的前缀
如何构建一棵哈夫曼树？,从下向上构造，选择权值最小的两个结点组成子树，重复直到只剩一个根结点
什么是哈夫曼树？,叶子结点带有权值的最优二叉树，带权路径长度最短
哈夫曼编码与哈夫曼树有什么关系？,哈夫曼树是一种用于生成哈夫曼编码的方法，通过构建哈夫曼树可以获得最优前缀编码
构建哈夫曼树的具体步骤是什么？,"选择权值最小的两个结点组成新子树，新树的根结点权值为两棵树的根结点权值之和,将新树的权值加入权值表，重复直到权值表为空"
哈夫曼编码的主要应用是什么？,数据压缩，通过给频率高的字符分配较短的编码，实现压缩效果
在K叉树的第i层上最多有多少个结点？,K^i
深度为 k 的二叉树至多有多少个结点？,2^k - 1
任何一棵二叉树T，如果其叶结点数为 n_0，则度为2的结点数为多少个？,n_0 - 1
具有 n 个结点的完全二叉树的深度为多少？,floor(log2 n) + 1
什么是森林？,互不相交的树的集合
非线性结构最重要的操作是什么？,遍历
什么是遍历？,按照某种次序依次访问所有结点，使每个结点仅被访问一次。
树的前序遍历的步骤是什么？,访问根结点，从左到右遍历每一棵子树
树的后序遍历的步骤是什么？,从左到右遍历每一棵子树，访问根结点
树的层序遍历（广度遍历）的步骤是什么？,从上到下逐层遍历，同层按从左到右顺序遍历
基于二叉链表的二叉树的创建步骤是什么？,建立根结点、建立左子树、建立右子树
使用顺序存储结构建立二叉树的基本思想是什么？,按照顺序存储结构中的元素顺序逐个建立树的结点，确保根结点、左子树和右子树的正确连接。
树转换成二叉树的转换原则是什么？,第一个右兄弟结点→右孩子，第一个孩子结点→左孩子
森林转换成二叉树的转换原则是什么？,每棵树转换成二叉树，从第二棵树开始，后一棵二叉树的根结点作为前一棵二叉树根结点的右孩子
二叉树转换成森林的转换原则是什么？,根结点的右孩子→第二棵树的根结点，根结点的左孩子→第一个孩子，右孩子→右兄弟
在树和二叉树之间的遍历中，有哪些等价性？,对于树的前序遍历与二叉树的前序遍历等价，而树的后序遍历与二叉树的中序遍历等价。
已知二叉树的前序序列 { ABCDEFGH } 和中序序列 { CDBA FEHG }，能否唯一确定一棵二叉树？,是的
什么样的二叉树前序序列和中序序列相同？,只有一个结点的树
什么样的二叉树后序序列和中序序列相同？,只有一个结点的树
什么样的二叉树前序序列和后序序列相同？,只有一个结点的树
森林有哪两种遍历方式？,前序遍历和后序遍历
森林的前序遍历的步骤是什么？,前序遍历森林中的每一棵树
森林的后序遍历的步骤是什么？,后序遍历森林中的每一棵树
树和二叉树的转换方法是什么？,孩子兄弟表示法
什么是孩子兄弟表示法？,在兄弟之间加线，保留长子连线，去掉其他孩子连线
二叉树前序遍历的步骤是什么？,访问根结点，前序遍历左子树，前序遍历右子树
二叉树中序遍历的步骤是什么？,中序遍历左子树，访问根结点，中序遍历右子树
二叉树后序遍历的步骤是什么？,后序遍历左子树，后序遍历右子树，访问根结点
二叉树层序遍历的步骤是什么？,从上到下逐层遍历，同层按从左到右顺序遍历
如何在中序序列中查找一个元素的位置？,遍历中序序列，找到元素所在的位置并返回
实现哈夫曼编码的主要步骤有哪些？,统计频度、存储和建立哈夫曼树、存储和建立哈夫曼编码表、哈夫曼编码、哈夫曼解码
哈夫曼树的结点结构如何存储？,使用数组`huffTree[2*n-1]`，每个结点包含权重、左孩子、右孩子和父结点指针
哈夫曼编码表如何存储？,每个字符及其对应的编码存储在表中，字符作为索引，编码作为值
哈夫曼编码的具体过程是什么？,根据字符频率构建哈夫曼树，从根到叶子路径生成编码，频率高的字符使用较短编码
哈夫曼解码的具体过程是什么？,从左到右读取编码串，从根结点开始，根据0选择左支，1选择右支，直到叶结点，重复直到解码完成
如何使用栈实现二叉树的前序遍历？,利用栈保存当前结点，访问左子树，当左子树为空时出栈并访问右子树
中序遍历的基本步骤是什么？,先遍历左子树，然后访问根结点，最后遍历右子树
如何使用栈实现二叉树的中序遍历？,利用栈保存当前结点，先遍历左子树，当左子树为空时出栈并访问右子树
在前序遍历过程中如何处理栈中的结点？,函数调用相当于入栈，函数返回相当于出栈，先处理左子树，左子树处理完后再处理右子树
如何统计二叉树中的叶子结点总数？,递归判断每个结点是否为叶子结点，若是则计数
如何计算二叉树的深度？,递归计算每个结点的左右子树深度，取较大值加1
二叉树的三种存储结构是什么？,顺序存储结构、二叉链表、三叉链表
二叉树的顺序存储结构是什么？,将二叉树按照完全二叉树编号，用一维数组存储，空位用NULL表示
二叉链表的结点结构是什么？,每个结点存储数据和指向左右孩子的指针
什么是二叉树的前序遍历？,先访问根结点，然后遍历左子树，最后遍历右子树
什么是二叉树的中序遍历？,先遍历左子树，然后访问根结点，最后遍历右子树
什么是二叉树的后序遍历？,先遍历左子树，然后遍历右子树，最后访问根结点
